mode,case,concurrency,fragment,phase,trials,median_ns,min_ns,max_ns,median_overhead_percent
selected,paused,8,17,steady,5,3420.833251953125,3408.2510986328125,3753.18701171875,1.5151416355928093
auto,paused,8,17,steady,5,3415.3577880859375,3405.1622314453125,3442.0780029296875,1.3526541803271286
direct,paused,8,1024,steady,5,2579.9124298095703,2566.464828491211,2594.239517211914,0.0
selected,paused,8,1024,steady,5,2581.665084838867,2573.7783966064453,3657.2893981933594,0.06793467131076536
auto,paused,8,1024,steady,5,2583.2672576904297,2560.904815673828,2733.096450805664,0.13003650209582052
direct,paused,8,65536,steady,5,2576.753463745117,2573.7066345214844,2614.1213989257812,0.0
selected,paused,8,65536,steady,5,2581.8350524902344,2574.316604614258,2600.7127380371094,0.19720896145538624
auto,paused,8,65536,steady,5,2595.2149658203125,2578.182113647461,2636.477813720703,0.7164636561063586
direct,paused,64,17,steady,5,3770.9818115234375,3752.22265625,3785.0491943359375,0.0
selected,paused,64,17,steady,5,3828.140869140625,3806.837158203125,3858.5970458984375,1.5157606287709902
auto,paused,64,17,steady,5,3819.2291259765625,3811.6468505859375,3823.5389404296875,1.2794364137660441
direct,paused,64,1024,steady,5,2592.7508850097656,2575.566696166992,2647.1683959960938,0.0
selected,paused,64,1024,steady,5,2584.8160400390625,2572.5790100097656,2621.3190307617188,-0.30603962056591216
auto,paused,64,1024,steady,5,2610.0130310058594,2582.3309783935547,2625.200469970703,0.665784981345352
direct,paused,64,65536,steady,5,2588.9182739257812,2582.7408447265625,2613.967803955078,0.0
selected,paused,64,65536,steady,5,2612.8544921875,2589.1822509765625,2625.682098388672,0.9245644600987202
auto,paused,64,65536,steady,5,2588.0225372314453,2581.030303955078,2615.295913696289,-0.03459887874242007
direct,paused,128,17,steady,5,4344.2017822265625,4337.3704833984375,4355.2315673828125,0.0
selected,paused,128,17,steady,5,4404.7261962890625,4380.913330078125,4415.0775146484375,1.3932229002373564
auto,paused,128,17,steady,5,4391.0294189453125,4382.8504638671875,4423.6383056640625,1.077934199795605
direct,paused,128,1024,steady,5,2706.9191284179688,2696.2982025146484,3308.7518920898438,0.0
selected,paused,128,1024,steady,5,2709.5760803222656,2699.771026611328,2726.7770385742188,0.09815409246636264
auto,paused,128,1024,steady,5,2703.569076538086,2698.0311584472656,2715.9481811523438,-0.12375884616252497
direct,paused,128,65536,steady,5,2719.514633178711,2687.0176391601562,2724.8792266845703,0.0
selected,paused,128,65536,steady,5,2723.3853759765625,2710.186752319336,3413.349075317383,0.1423321187769222
auto,paused,128,65536,steady,5,2720.621597290039,2703.344436645508,3644.881546020508,0.040704473431496524
direct,empty,1,17,construct,5,10620.78076171875,10604.48291015625,14766.56201171875,0.0
selected,empty,1,17,construct,5,10953.994384765625,10661.9052734375,14367.730224609375,3.137374083154998
auto,empty,1,17,construct,5,16733.25439453125,16210.28857421875,24532.42431640625,57.5520177842681
direct,empty,1,1024,construct,5,8204.86962890625,7940.287841796875,12139.5185546875,0.0
selected,empty,1,1024,construct,5,7993.945068359375,7947.050048828125,11395.345703125,-2.5707240954051858
auto,empty,1,1024,construct,5,10017.9619140625,9853.291259765625,14852.6455078125,22.097758613599616
direct,empty,1,65536,construct,5,8034.381103515625,8000.466064453125,12025.332763671875,0.0
selected,empty,1,65536,construct,5,8015.2607421875,7897.02099609375,9063.348388671875,-0.2379817571730336
auto,empty,1,65536,construct,5,9994.256103515625,9943.470703125,10875.86083984375,24.39360262786654
